"Country Name","Total","GDP","Log_GDP","Log_Total","Predicted","Residual","Outlier","OutlierType","aboveorbelow"
"Guatemala",29.762,75085039041.421,25.0418871620415,3.39323241200786,6.32054579131846,-2.9273133793106,"yes","below","below"
"Guinea",3.423,13163554464.6514,23.3007178224723,1.23051735954805,4.55705754057972,-3.32654018103168,"yes","below","below"
"Guyana",45.587,8735455982.28699,22.8906559809201,3.81962258815581,4.14173938443033,-0.322116796274517,"no","no","below"
"Haiti",9.622,14687836255.8884,23.4102855226067,2.26405214327726,4.66802971741301,-2.40397757413574,"no","no","below"
"Honduras",42.401,24956121590.0023,23.9403849833582,3.74717194686545,5.20492417650657,-1.45775222964111,"no","no","below"
"Iceland",121.602,20271528517.8067,23.7324832024512,4.80075341676523,4.99435743862231,-0.193604021857074,"no","no","below"
"India",26480.881,2726370511450.72,28.6339923575937,10.1841782798902,9.95869583440464,0.225482445485611,"no","no","above"
"Indonesia",27135.474,1065594969739.24,27.6945544161313,10.2085971545594,9.0072158522927,1.20138130226672,"no","no","above"
"Iraq",322.237,183896942952.401,25.9376413449949,5.77528729965568,7.22778206138699,-1.45249476173131,"no","no","below"
"Ireland",2527.976,447783940484.606,26.8275766773251,7.8351742615508,8.12912489279119,-0.293950631240389,"no","no","below"
"Israel",2336.516,382099815616.826,26.668947708847,7.75641620996638,7.96846256329768,-0.212046353331303,"no","no","below"
"Italy",16179.352,1862306180833.87,28.2528367178033,9.69149114036673,9.57265440971495,0.118836730651779,"no","no","above"
"Jamaica",3.271,14058988365.3687,23.3665277694863,1.18509574855625,4.6237110622697,-3.43861531371345,"yes","below","below"
"Japan",241039.486,4435430839945.36,29.1206458723935,12.3927160413758,10.4515874423757,1.9411285990001,"no","no","above"
"Jordan",235.13,42157528600.2302,24.4646791199222,5.46013855267951,5.73593889675806,-0.275800344078546,"no","no","below"
"Kazakhstan",365.016,214679957540.774,26.0924141864759,5.89994118823818,7.38453883471303,-1.48459764647486,"no","no","below"
"Kenya",25.924,90372800190.2183,25.2272091762186,3.25516918056547,6.50824332720861,-3.25307414664314,"yes","below","below"
"Kiribati",1.218,178690724.1202,19.001167071229,0.197210169287705,0.202393659840446,-0.00518349055274084,"no","no","below"
"Latvia",1003.654,31300856486.9336,24.1669112979179,6.91140261934209,5.43435418376139,1.4770484355807,"no","no","above"
"Lebanon",2709.683,34090266918.9041,24.2522777528956,7.90458693286199,5.52081489550209,2.3837720373599,"no","no","above"
"Liberia",377.606,3270920145.66908,21.9083371723857,5.93385132397561,3.1468288734523,2.78702245052332,"yes","above","above"
"Libya",2831.232,60910775962.4039,24.8326759412048,7.94846723159524,6.10865282865029,1.83981440294495,"no","no","above"
"Lithuania",226.048,51069702271.8047,24.6564572477829,5.42074736610139,5.93017530303129,-0.509427936929906,"no","no","below"
"Luxembourg",1633.688,68993899662.5449,24.9572839269475,7.39859531471565,6.23485808267792,1.16373723203773,"no","no","above"
"Malaysia",8674.12,355073045619.288,26.5955893675635,9.06809915874739,7.89416388940814,1.17393526933925,"no","no","above"
"Maldives",73.773,5114229739.90564,22.3552926365267,4.30099281100711,3.59951356741271,0.701479243594402,"no","no","above"
"Malta",1449.579,14462554088.5388,23.3948286693755,7.27902844842881,4.65237473288786,2.62665371554095,"yes","above","above"
"Marshall Islands",837.245,221287100,19.2149715114108,6.73011673972456,0.418938719328878,6.31117802039568,"yes","above","above"
"Mauritius",211.884,12285243876.5082,23.2316646942901,5.35603895510866,4.48711926550293,0.868919689605728,"no","no","above"
"Mexico",1580.628,1206918348543.94,27.8190914074905,7.36557751540582,9.13334920190625,-1.76777168650043,"no","no","below"
"Montenegro",139.974,4551482433.07461,22.2387188263118,4.94145669107656,3.48144547375528,1.46001121732128,"no","no","above"
"Morocco",61.59,123866072116.035,25.5424667552821,4.12049951969895,6.82754198702323,-2.70704246732428,"yes","below","below"
"Mozambique",16.536,18383776165.8719,23.634734382493,2.80553982237947,4.89535564046152,-2.08981581808205,"no","no","below"
"Myanmar",260.808,70876447890.5865,24.984204027577,5.56378450442866,6.26212325447371,-0.698338750045051,"no","no","below"
"Namibia",47.806,10617235457.7711,23.0857445041616,3.86715115463261,4.33932861987805,-0.472177465245445,"no","no","below"
"New Zealand",203.062,207032276406.53,26.056140542726,5.3135113511302,7.3478002228442,-2.034288871714,"no","no","below"
"Nicaragua",2.174,14063479455.7512,23.3668471646723,0.776568788699018,4.62403455157376,-3.84746576287474,"yes","below","below"
